GameLevel ,TaskNo,Floor,RoomID,RoomName,Equipment,EquipmentType,HotSpotID,IsActiveZone,Rated Power(W),Voltage(V),Current(mA),Frequency(Hz),No_of_hours,Standby_power (W),Standby_hours,Number_of_fixtureUnits,Diversity_Factor(Reference),BrandName,ModelID,SerialNumber,YearOFManufacture,TemplateImage ,LogoImage,ProductImage1,ProductImage2,InwardGoodsInspectionReportImage,Total flux (Lumens),LuminousEfficacy(lm/w),CCT(oK),CRI,Length(m),Breadth(m),Height(m),SurfaceArea(Sq.m),OperatorID,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100,EnergyPERday,NoOFdays ,AnnualEnergy 
L1,T11,GF,Z01,Male toilet,Hanging Lights,Lighting,L1_T11_GF_Z01_H001,FALSE,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z01,Male toilet,Can lights,Lighting,L1_T11_GF_Z01_H002,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z02,Meeting room 1,Hanging Lights,Lighting,L1_T11_GF_Z02_H005,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z03,Meeting room 2,Hanging Lights,Lighting,L1_T11_GF_Z03_H008,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z04,Classroom 1,Hanging Lights,Lighting,L1_T11_GF_Z04_H011,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z05,Classroom 2,Hanging Lights,Lighting,L1_T11_GF_Z05_H014,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z06,AHU,Hanging lights,Lighting,L1_T11_GF_Z06_H018,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z07,Corridor,Hanging lights,Lighting,L1_T11_GF_Z07_H019,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z08,Classroom 3,Hanging lights,Lighting,L1_T11_GF_Z08_H020,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L1,T11,GF,Z09,Corridor,Hanging lights,Lighting,L1_T11_GF_Z09_H023,FALSE,HSclickPopUpSpecImage,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,L1_T11_Formula1,L1_T11_Formula1,L1_T11_Formula1,BMSassetTracker+LSTM_inventoryPage,L1_T11_Formula1,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,PopUpImage+Notebook,NA,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,HSclickPopUpSpecImage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
