GameLevel ,TaskNo,Floor,RoomID,RoomName,Equipment,EquipmentType,HotSpotID,IsActiveZone,Rated Power(W),Voltage(V),Current(mA),Frequency(Hz),No_of_hours,Standby_power (W),Standby_hours,Number_of_fixtureUnits,Diversity_Factor(Reference),BrandName,ModelID,SerialNumber,YearOFManufacture,TemplateImage ,LogoImage,ProductImage1,ProductImage2,InwardGoodsInspectionReportImage,Total flux (Lumens),LuminousEfficacy(lm/w),CCT(oK),CRI,Length(m),Breadth(m),Height(m),SurfaceArea(Sq.m),OperatorID,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100,EnergyPERday,NoOFdays ,AnnualEnergy 
L1,T11,GF,Z01,Male toilet,Hanging Lights,Lighting,L1_T11_GF_Z01_H001,FALSE,25,250,100,50,8,0,0,2,0.7,Euclase(was phillips),EP101,1,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,260,72800
L1,T11,GF,Z01,Male toilet,Can lights,Lighting,L1_T11_GF_Z01_H002,FALSE,5,250,100,50,8,0,0,5,0.7,Euclase,EC101,2,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,260,36400
L1,T11,GF,Z02,Meeting room 1,Hanging Lights,Lighting,L1_T11_GF_Z02_H005,FALSE,25,250,100,50,3,0,0,4,0.7,Euclase,EP101,3,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,260,54600
L1,T11,GF,Z03,Meeting room 2,Hanging Lights,Lighting,L1_T11_GF_Z03_H008,FALSE,25,250,100,50,3,0,0,4,0.7,Euclase,EP101,4,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,260,54600
L1,T11,GF,Z04,Classroom 1,Hanging Lights,Lighting,L1_T11_GF_Z04_H011,FALSE,25,250,100,50,3,0,0,16,0.7,Euclase,EP101,5,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,260,218400
L1,T11,GF,Z05,Classroom 2,Hanging Lights,Lighting,L1_T11_GF_Z05_H014,FALSE,25,250,100,50,3,0,0,16,0.7,Euclase,EP101,6,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,260,218400
L1,T11,GF,Z06,AHU,Hanging lights,Lighting,L1_T11_GF_Z06_H018,FALSE,25,250,100,50,2,0,0,4,0.7,Euclase,EP101,7,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,260,36400
L1,T11,GF,Z07,Corridor,Hanging lights,Lighting,L1_T11_GF_Z07_H019,FALSE,25,250,100,50,18,0,0,4,0.7,Euclase,EP101,8,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,260,327600
L1,T11,GF,Z08,Classroom 3,Hanging lights,Lighting,L1_T11_GF_Z08_H020,FALSE,25,250,100,50,2,0,0,20,0.7,Euclase,EP101,9,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,260,182000
L1,T11,GF,Z09,Corridor,Hanging lights,Lighting,L1_T11_GF_Z09_H023,FALSE,25,250,100,50,18,0,0,12,0.3,Euclase,EP101,10,2026,https://drive.google.com/file/d/1KLDQIqGbxwSIGxYGy1JDXW85UE4VeUDy/view?usp=drive_link,https://drive.google.com/file/d/1j9Hh2G_mIM_Pbl6AVD0LV4rIeX09W6rX/view?usp=drive_link,https://phantom-load.in/media/images/Task11/ProductImage1/,https://phantom-load.in/media/images/Task11/ProductImage2/,NA,2800,112,4000,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,260,468000
